# Graph for Java/GraphStream
# Nodes: 35
# Edges: 405

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Sergi Roberto | Ansu Fati | 1 | 6 | 4
EDGE Sergi Roberto | Clément Lenglet | 1 | 6 | 11
EDGE Sergi Roberto | Emerson Royal | 1 | 6 | 1
EDGE Sergi Roberto | Martin Braithwaite | 1 | 6 | 3
EDGE Sergi Roberto | Antoine Griezmann | 1 | 6 | 3
EDGE Sergi Roberto | Nico González | 1 | 6 | 17
EDGE Sergi Roberto | Philippe Coutinho | 2 | 6 | 5
EDGE Sergi Roberto | Sergio Agüero | 1 | 6 | 2
EDGE Sergi Roberto | Alejandro Balde | 1 | 6 | 2
EDGE Sergi Roberto | Yusuf Demir | 1 | 6 | 3
EDGE Sergiño Dest | Memphis Depay | 16 | 23 | 27
EDGE Sergiño Dest | Luuk de Jong | 5 | 23 | 10
EDGE Sergiño Dest | Ansu Fati | 2 | 23 | 4
EDGE Sergiño Dest | Neto | 2 | 23 | 4
EDGE Sergiño Dest | Martin Braithwaite | 2 | 23 | 3
EDGE Sergiño Dest | Antoine Griezmann | 2 | 23 | 3
EDGE Sergiño Dest | Nico González | 6 | 23 | 17
EDGE Sergiño Dest | Adama Traoré | 5 | 23 | 9
EDGE Sergiño Dest | Óscar Mingueza | 6 | 23 | 14
EDGE Sergiño Dest | Philippe Coutinho | 5 | 23 | 5
EDGE Sergiño Dest | Ousmane Dembélé | 4 | 23 | 18
EDGE Sergiño Dest | Pierre-Emerick Aubameyang | 5 | 23 | 18
EDGE Sergiño Dest | Clément Lenglet | 4 | 23 | 11
EDGE Sergiño Dest | Yusuf Demir | 2 | 23 | 3
EDGE Sergiño Dest | Sergio Agüero | 2 | 23 | 2
EDGE Sergiño Dest | Alejandro Balde | 1 | 23 | 2
EDGE Memphis Depay | Luuk de Jong | 5 | 27 | 10
EDGE Memphis Depay | Nico González | 11 | 27 | 17
EDGE Memphis Depay | Ansu Fati | 4 | 27 | 4
EDGE Memphis Depay | Neto | 3 | 27 | 4
EDGE Memphis Depay | Martin Braithwaite | 3 | 27 | 3
EDGE Memphis Depay | Antoine Griezmann | 3 | 27 | 3
EDGE Memphis Depay | Adama Traoré | 1 | 27 | 9
EDGE Memphis Depay | Óscar Mingueza | 10 | 27 | 14
EDGE Memphis Depay | Philippe Coutinho | 5 | 27 | 5
EDGE Memphis Depay | Clément Lenglet | 9 | 27 | 11
EDGE Memphis Depay | Yusuf Demir | 3 | 27 | 3
EDGE Memphis Depay | Ilias Akhomach | 1 | 27 | 3
EDGE Memphis Depay | Emerson Royal | 1 | 27 | 1
EDGE Memphis Depay | Pierre-Emerick Aubameyang | 3 | 27 | 18
EDGE Memphis Depay | Ousmane Dembélé | 4 | 27 | 18
EDGE Memphis Depay | Alejandro Balde | 2 | 27 | 2
