# Graph for Java/GraphStream
# Nodes: 29
# Edges: 333

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Manu Trigueros | Israel Puerto | 1 | 40 | 2
EDGE Manu Trigueros | Matías Nahuel | 2 | 40 | 3
EDGE Manu Trigueros | José Naranjo | 1 | 40 | 2
EDGE Denis Cheryshev | Luciano Vietto | 17 | 27 | 29
EDGE Denis Cheryshev | Ikechukwu Uche | 20 | 27 | 27
EDGE Denis Cheryshev | Gabriel Paulista | 19 | 27 | 28
EDGE Denis Cheryshev | Bruno Soriano | 19 | 27 | 30
EDGE Denis Cheryshev | Cani | 6 | 27 | 10
EDGE Denis Cheryshev | Javier Espinosa | 2 | 27 | 9
EDGE Denis Cheryshev | Adrián Marín | 3 | 27 | 8
EDGE Luciano Vietto | Ikechukwu Uche | 15 | 29 | 27
EDGE Luciano Vietto | Gabriel Paulista | 17 | 29 | 28
EDGE Luciano Vietto | Bruno Soriano | 20 | 29 | 30
EDGE Luciano Vietto | Cani | 5 | 29 | 10
EDGE Luciano Vietto | Adrián Marín | 4 | 29 | 8
EDGE Luciano Vietto | Javier Espinosa | 4 | 29 | 9
EDGE Luciano Vietto | Juan Carlos | 5 | 29 | 10
EDGE Luciano Vietto | Bojan Jokic | 1 | 29 | 6
EDGE Ikechukwu Uche | Gabriel Paulista | 17 | 27 | 28
EDGE Ikechukwu Uche | Bruno Soriano | 18 | 27 | 30
EDGE Ikechukwu Uche | Cani | 6 | 27 | 10
EDGE Ikechukwu Uche | Javier Espinosa | 2 | 27 | 9
EDGE Ikechukwu Uche | Adrián Marín | 2 | 27 | 8
EDGE Ikechukwu Uche | Bojan Jokic | 1 | 27 | 6
EDGE Gabriel Paulista | Bruno Soriano | 22 | 28 | 30
EDGE Gabriel Paulista | Cani | 9 | 28 | 10
EDGE Gabriel Paulista | Adrián Marín | 7 | 28 | 8
EDGE Gabriel Paulista | Javier Espinosa | 7 | 28 | 9
EDGE Gabriel Paulista | Juan Carlos | 4 | 28 | 10
EDGE Bruno Soriano | Cani | 10 | 30 | 10
EDGE Bruno Soriano | Adrián Marín | 6 | 30 | 8
EDGE Bruno Soriano | Javier Espinosa | 4 | 30 | 9
EDGE Bruno Soriano | Juan Carlos | 5 | 30 | 10
EDGE Bruno Soriano | Bojan Jokic | 2 | 30 | 6
EDGE Cani | Juan Carlos | 2 | 10 | 10
EDGE Cani | Adrián Marín | 3 | 10 | 8
EDGE Cani | Javier Espinosa | 3 | 10 | 9
EDGE Adrián Marín | Javier Espinosa | 6 | 8 | 9
EDGE Adrián Marín | Juan Carlos | 4 | 8 | 10
EDGE Adrián Marín | Israel Puerto | 1 | 8 | 2
EDGE Adrián Marín | Matías Nahuel | 1 | 8 | 3
EDGE Adrián Marín | José Naranjo | 1 | 8 | 2
EDGE Javier Espinosa | Juan Carlos | 6 | 9 | 10
EDGE Javier Espinosa | Israel Puerto | 2 | 9 | 2
EDGE Javier Espinosa | Matías Nahuel | 2 | 9 | 3
EDGE Javier Espinosa | José Naranjo | 2 | 9 | 2
EDGE Juan Carlos | Bojan Jokic | 3 | 10 | 6
EDGE Juan Carlos | Israel Puerto | 2 | 10 | 2
EDGE Juan Carlos | Matías Nahuel | 2 | 10 | 3
EDGE Juan Carlos | José Naranjo | 2 | 10 | 2
EDGE Israel Puerto | Matías Nahuel | 2 | 2 | 3
EDGE Israel Puerto | José Naranjo | 2 | 2 | 2
EDGE Matías Nahuel | José Naranjo | 2 | 3 | 2
