# Graph for Java/GraphStream
# Nodes: 32
# Edges: 318

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Iñaki Lafuente | Ismael Urzaiz | 10 | 24 | 16
EDGE Iñaki Lafuente | Eder Martínez | 1 | 24 | 1
EDGE Iñaki Lafuente | Asier Ormazábal | 1 | 24 | 1
EDGE Iñaki Lafuente | Pablo Paredes | 1 | 24 | 1
EDGE Iñaki Lafuente | Aritz Solabarrieta | 1 | 24 | 1
EDGE Iñaki Lafuente | Joseba Arriaga | 1 | 24 | 1
EDGE Iñaki Lafuente | Endika Bordas | 1 | 24 | 2
EDGE Ustaritz | Gontzal Rodríguez | 1 | 18 | 1
EDGE Ustaritz | David de Paula | 1 | 18 | 2
EDGE Ustaritz | Javi González | 1 | 18 | 6
EDGE Ustaritz | Jonan García | 1 | 18 | 1
EDGE Ustaritz | Ismael Urzaiz | 10 | 18 | 16
EDGE Ustaritz | Ander Murillo | 10 | 18 | 21
EDGE Gontzal Rodríguez | David de Paula | 1 | 1 | 2
EDGE Gontzal Rodríguez | Javi González | 1 | 1 | 6
EDGE Gontzal Rodríguez | Jonan García | 1 | 1 | 1
EDGE David de Paula | Javi González | 1 | 2 | 6
EDGE David de Paula | Jonan García | 1 | 2 | 1
EDGE David de Paula | Eder Martínez | 1 | 2 | 1
EDGE David de Paula | Asier Ormazábal | 1 | 2 | 1
EDGE David de Paula | Pablo Paredes | 1 | 2 | 1
EDGE David de Paula | Aritz Solabarrieta | 1 | 2 | 1
EDGE David de Paula | Joseba Arriaga | 1 | 2 | 1
EDGE Javi González | Jonan García | 1 | 6 | 1
EDGE Javi González | Ander Murillo | 5 | 6 | 21
EDGE Javi González | Ismael Urzaiz | 2 | 6 | 16
EDGE Ander Murillo | Ismael Urzaiz | 12 | 21 | 16
EDGE Eder Martínez | Asier Ormazábal | 1 | 1 | 1
EDGE Eder Martínez | Pablo Paredes | 1 | 1 | 1
EDGE Eder Martínez | Aritz Solabarrieta | 1 | 1 | 1
EDGE Eder Martínez | Joseba Arriaga | 1 | 1 | 1
EDGE Asier Ormazábal | Pablo Paredes | 1 | 1 | 1
EDGE Asier Ormazábal | Aritz Solabarrieta | 1 | 1 | 1
EDGE Asier Ormazábal | Joseba Arriaga | 1 | 1 | 1
EDGE Pablo Paredes | Aritz Solabarrieta | 1 | 1 | 1
EDGE Pablo Paredes | Joseba Arriaga | 1 | 1 | 1
EDGE Aritz Solabarrieta | Joseba Arriaga | 1 | 1 | 1
EDGE Francisco Tarantino | Endika Bordas | 1 | 2 | 2
