# Graph for Java/GraphStream
# Nodes: 28
# Edges: 286

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Gonzalo Rodríguez | Marcos Gullón | 1 | 28 | 1
EDGE Gonzalo Rodríguez | Jonathan Pereira | 3 | 28 | 3
EDGE Gonzalo Rodríguez | David Fuster | 6 | 28 | 14
EDGE Gonzalo Rodríguez | Javier Matilla | 1 | 28 | 2
EDGE Ángel López | Ariel Ibagaza | 18 | 34 | 19
EDGE Ángel López | Mateo Musacchio | 3 | 34 | 5
EDGE Ángel López | David Fuster | 6 | 34 | 14
EDGE Ángel López | Santi Cazorla | 13 | 34 | 20
EDGE Ángel López | Sebastián Eguren | 10 | 34 | 16
EDGE Ángel López | Xavier Oliva | 3 | 34 | 3
EDGE Ángel López | Kiko Olivas | 4 | 34 | 4
EDGE Ángel López | Marcos Gullón | 1 | 34 | 1
EDGE Ángel López | Jonathan Pereira | 2 | 34 | 3
EDGE Ángel López | Fabricio Fuentes | 1 | 34 | 1
EDGE Ángel López | Joan Oriol | 1 | 34 | 1
EDGE Ariel Ibagaza | Santi Cazorla | 7 | 19 | 20
EDGE Ariel Ibagaza | Mateo Musacchio | 2 | 19 | 5
EDGE Ariel Ibagaza | David Fuster | 4 | 19 | 14
EDGE Ariel Ibagaza | Fabricio Fuentes | 1 | 19 | 1
EDGE Ariel Ibagaza | Sebastián Eguren | 4 | 19 | 16
EDGE Ariel Ibagaza | Joan Oriol | 1 | 19 | 1
EDGE Mateo Musacchio | David Fuster | 2 | 5 | 14
EDGE Mateo Musacchio | Javier Matilla | 1 | 5 | 2
EDGE Mateo Musacchio | Marco Ruben | 1 | 5 | 1
EDGE Mateo Musacchio | Santi Cazorla | 1 | 5 | 20
EDGE David Fuster | Santi Cazorla | 4 | 14 | 20
EDGE David Fuster | Sebastián Eguren | 2 | 14 | 16
EDGE David Fuster | Javier Matilla | 2 | 14 | 2
EDGE David Fuster | Kiko Olivas | 1 | 14 | 4
EDGE David Fuster | Marco Ruben | 1 | 14 | 1
EDGE Sebastián Eguren | Santi Cazorla | 7 | 16 | 20
EDGE Sebastián Eguren | Kiko Olivas | 2 | 16 | 4
EDGE Sebastián Eguren | Xavier Oliva | 1 | 16 | 3
EDGE Sebastián Eguren | Jonathan Pereira | 2 | 16 | 3
EDGE Sebastián Eguren | Joan Oriol | 1 | 16 | 1
EDGE Santi Cazorla | Kiko Olivas | 2 | 20 | 4
EDGE Santi Cazorla | Fabricio Fuentes | 1 | 20 | 1
EDGE Xavier Oliva | Kiko Olivas | 2 | 3 | 4
EDGE Xavier Oliva | Marcos Gullón | 1 | 3 | 1
EDGE Xavier Oliva | Jonathan Pereira | 2 | 3 | 3
EDGE Kiko Olivas | Marcos Gullón | 1 | 4 | 1
EDGE Kiko Olivas | Jonathan Pereira | 2 | 4 | 3
EDGE Marcos Gullón | Jonathan Pereira | 1 | 1 | 3
EDGE Javier Matilla | Marco Ruben | 1 | 2 | 1
