# Graph for Java/GraphStream
# Nodes: 28
# Edges: 287

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Gonzalo Higuaín | Diego López | 2 | 17 | 5
EDGE Gonzalo Higuaín | Cicinho | 1 | 17 | 6
EDGE Diego López | Francisco Pavón | 2 | 5 | 2
EDGE Diego López | Álvaro Mejía | 3 | 5 | 7
EDGE Diego López | Raúl Bravo | 3 | 5 | 6
EDGE Diego López | Javi García | 2 | 5 | 2
EDGE Diego López | Ronaldo | 3 | 5 | 6
EDGE Diego López | Rubén de la Red | 1 | 5 | 1
EDGE Diego López | Miguel Ángel Nieto | 1 | 5 | 1
EDGE Francisco Pavón | Álvaro Mejía | 2 | 2 | 7
EDGE Francisco Pavón | Raúl Bravo | 2 | 2 | 6
EDGE Francisco Pavón | Javi García | 2 | 2 | 2
EDGE Francisco Pavón | Ronaldo | 2 | 2 | 6
EDGE Álvaro Mejía | Raúl Bravo | 3 | 7 | 6
EDGE Álvaro Mejía | Javi García | 2 | 7 | 2
EDGE Álvaro Mejía | Ronaldo | 3 | 7 | 6
EDGE Álvaro Mejía | Rubén de la Red | 1 | 7 | 1
EDGE Álvaro Mejía | Miguel Ángel Nieto | 1 | 7 | 1
EDGE Raúl Bravo | Javi García | 2 | 6 | 2
EDGE Raúl Bravo | Ronaldo | 2 | 6 | 6
EDGE Javi García | Ronaldo | 2 | 2 | 6
EDGE Ronaldo | Rubén de la Red | 1 | 6 | 1
EDGE Ronaldo | Miguel Ángel Nieto | 1 | 6 | 1
EDGE Rubén de la Red | Miguel Ángel Nieto | 1 | 1 | 1
