# Graph for Java/GraphStream
# Nodes: 27
# Edges: 284

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Juan Valera | Fran Mérida | 6 | 15 | 10
EDGE Juan Valera | Elias | 4 | 15 | 11
EDGE Juan Valera | Koke | 4 | 15 | 9
EDGE Juan Valera | Ignacio Camacho | 1 | 15 | 3
EDGE Juan Valera | Juanfran Torres | 3 | 15 | 6
EDGE Juan Valera | Jorge Pulido | 2 | 15 | 3
EDGE Juan Valera | Joel Robles | 1 | 15 | 2
EDGE Fran Mérida | Elias | 2 | 10 | 11
EDGE Fran Mérida | Ignacio Camacho | 3 | 10 | 3
EDGE Fran Mérida | Joel Robles | 1 | 10 | 2
EDGE Fran Mérida | Juanito | 1 | 10 | 1
EDGE Fran Mérida | Jorge Pulido | 1 | 10 | 3
EDGE Fran Mérida | Koke | 1 | 10 | 9
EDGE Fran Mérida | Alberto Perea | 1 | 10 | 1
EDGE Elias | Juanfran Torres | 2 | 11 | 6
EDGE Elias | Koke | 1 | 11 | 9
EDGE Koke | Jorge Pulido | 3 | 9 | 3
EDGE Koke | Juanfran Torres | 2 | 9 | 6
EDGE Koke | Joel Robles | 1 | 9 | 2
EDGE Koke | Juanito | 1 | 9 | 1
EDGE Koke | Ignacio Camacho | 1 | 9 | 3
EDGE Koke | Alberto Perea | 1 | 9 | 1
EDGE Juanfran Torres | Jorge Pulido | 2 | 6 | 3
EDGE Ignacio Camacho | Joel Robles | 1 | 3 | 2
EDGE Ignacio Camacho | Juanito | 1 | 3 | 1
EDGE Ignacio Camacho | Jorge Pulido | 1 | 3 | 3
EDGE Ignacio Camacho | Alberto Perea | 1 | 3 | 1
EDGE Jorge Pulido | Joel Robles | 1 | 3 | 2
EDGE Jorge Pulido | Juanito | 1 | 3 | 1
EDGE Jorge Pulido | Alberto Perea | 1 | 3 | 1
EDGE Joel Robles | Juanito | 1 | 2 | 1
EDGE Joel Robles | Alberto Perea | 1 | 2 | 1
EDGE Juanito | Alberto Perea | 1 | 1 | 1
