# Graph for Java/GraphStream
# Nodes: 27
# Edges: 296

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Miguel Torres | Míchel Salgado | 2 | 12 | 10
EDGE Miguel Torres | Javi García | 2 | 12 | 4
EDGE Miguel Torres | Robinho | 1 | 12 | 1
EDGE Christoph Metzelder | Gary Kagelmacher | 1 | 11 | 1
EDGE Christoph Metzelder | Míchel Salgado | 6 | 11 | 10
EDGE Christoph Metzelder | Guti | 5 | 11 | 19
EDGE Christoph Metzelder | Royston Drenthe | 4 | 11 | 9
EDGE Christoph Metzelder | Jerzy Dudek | 2 | 11 | 3
EDGE Christoph Metzelder | Javier Saviola | 2 | 11 | 4
EDGE Christoph Metzelder | Javi García | 1 | 11 | 4
EDGE Guti | Royston Drenthe | 8 | 19 | 9
EDGE Guti | Javier Saviola | 3 | 19 | 4
EDGE Guti | Javi García | 1 | 19 | 4
EDGE Guti | Míchel Salgado | 6 | 19 | 10
EDGE Guti | Jerzy Dudek | 2 | 19 | 3
EDGE Royston Drenthe | Javier Saviola | 4 | 9 | 4
EDGE Royston Drenthe | Míchel Salgado | 4 | 9 | 10
EDGE Royston Drenthe | Jerzy Dudek | 2 | 9 | 3
EDGE Javier Saviola | Jerzy Dudek | 2 | 4 | 3
EDGE Javier Saviola | Míchel Salgado | 2 | 4 | 10
EDGE Javi García | Míchel Salgado | 1 | 4 | 10
EDGE Javi García | Robinho | 1 | 4 | 1
EDGE Míchel Salgado | Gary Kagelmacher | 1 | 10 | 1
EDGE Míchel Salgado | Jerzy Dudek | 3 | 10 | 3
EDGE Míchel Salgado | Robinho | 1 | 10 | 1
