# Graph for Java/GraphStream
# Nodes: 31
# Edges: 335

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Manu Trigueros | Ikechukwu Uche | 11 | 21 | 23
EDGE Manu Trigueros | Hernán Pérez | 6 | 21 | 8
EDGE Manu Trigueros | Olof Mellberg | 16 | 21 | 26
EDGE Manu Trigueros | Fernando Cavenaghi | 13 | 21 | 16
EDGE Manu Trigueros | Florian Lejeune | 2 | 21 | 2
EDGE Manu Trigueros | Dani Toribio | 2 | 21 | 3
EDGE Manu Trigueros | Gerard Moreno | 3 | 21 | 8
EDGE Manu Trigueros | Pablo Iñiguez | 4 | 21 | 6
EDGE Manu Trigueros | Walter Pandiani | 1 | 21 | 4
EDGE Manu Trigueros | Héctor Canteros | 1 | 21 | 10
EDGE Manu Trigueros | Gerard Bordas | 1 | 21 | 2
EDGE Manu Trigueros | Jorge Palatsí | 1 | 21 | 1
EDGE Jaume Costa | Ikechukwu Uche | 13 | 25 | 23
EDGE Jaume Costa | Javier Aquino | 8 | 25 | 10
EDGE Jaume Costa | Olof Mellberg | 13 | 25 | 26
EDGE Jaume Costa | Gerard Bordas | 2 | 25 | 2
EDGE Jaume Costa | Hernán Pérez | 4 | 25 | 8
EDGE Jaume Costa | Fernando Cavenaghi | 9 | 25 | 16
EDGE Jaume Costa | Walter Pandiani | 4 | 25 | 4
EDGE Jaume Costa | Guillem Truyols | 2 | 25 | 2
EDGE Jaume Costa | Dani Toribio | 2 | 25 | 3
EDGE Jaume Costa | Héctor Canteros | 7 | 25 | 10
EDGE Jaume Costa | Gerard Moreno | 2 | 25 | 8
EDGE Jaume Costa | Florian Lejeune | 2 | 25 | 2
EDGE Jaume Costa | Juanma | 1 | 25 | 1
EDGE Jaume Costa | Pablo Iñiguez | 3 | 25 | 6
EDGE Ikechukwu Uche | Javier Aquino | 6 | 23 | 10
EDGE Ikechukwu Uche | Hernán Pérez | 3 | 23 | 8
EDGE Ikechukwu Uche | Olof Mellberg | 12 | 23 | 26
EDGE Ikechukwu Uche | Walter Pandiani | 2 | 23 | 4
EDGE Ikechukwu Uche | Héctor Canteros | 4 | 23 | 10
EDGE Ikechukwu Uche | Pablo Iñiguez | 4 | 23 | 6
EDGE Ikechukwu Uche | Gerard Moreno | 1 | 23 | 8
EDGE Ikechukwu Uche | Fernando Cavenaghi | 7 | 23 | 16
EDGE Ikechukwu Uche | Guillem Truyols | 1 | 23 | 2
EDGE Ikechukwu Uche | Dani Toribio | 1 | 23 | 3
EDGE Ikechukwu Uche | Jorge Palatsí | 1 | 23 | 1
EDGE Javier Aquino | Olof Mellberg | 5 | 10 | 26
EDGE Javier Aquino | Héctor Canteros | 7 | 10 | 10
EDGE Javier Aquino | Gerard Moreno | 4 | 10 | 8
EDGE Javier Aquino | Pablo Iñiguez | 1 | 10 | 6
EDGE Hernán Pérez | Olof Mellberg | 5 | 8 | 26
EDGE Hernán Pérez | Fernando Cavenaghi | 7 | 8 | 16
EDGE Hernán Pérez | Gerard Bordas | 1 | 8 | 2
EDGE Hernán Pérez | Florian Lejeune | 2 | 8 | 2
EDGE Hernán Pérez | Dani Toribio | 1 | 8 | 3
EDGE Hernán Pérez | Jorge Palatsí | 1 | 8 | 1
EDGE Hernán Pérez | Pablo Iñiguez | 1 | 8 | 6
EDGE Olof Mellberg | Fernando Cavenaghi | 13 | 26 | 16
EDGE Olof Mellberg | Gerard Bordas | 2 | 26 | 2
EDGE Olof Mellberg | Walter Pandiani | 2 | 26 | 4
EDGE Olof Mellberg | Héctor Canteros | 7 | 26 | 10
EDGE Olof Mellberg | Gerard Moreno | 5 | 26 | 8
EDGE Olof Mellberg | Juanma | 1 | 26 | 1
EDGE Olof Mellberg | Florian Lejeune | 1 | 26 | 2
EDGE Olof Mellberg | Pablo Iñiguez | 3 | 26 | 6
EDGE Olof Mellberg | Dani Toribio | 1 | 26 | 3
EDGE Fernando Cavenaghi | Gerard Bordas | 2 | 16 | 2
EDGE Fernando Cavenaghi | Guillem Truyols | 1 | 16 | 2
EDGE Fernando Cavenaghi | Dani Toribio | 3 | 16 | 3
EDGE Fernando Cavenaghi | Walter Pandiani | 1 | 16 | 4
EDGE Fernando Cavenaghi | Florian Lejeune | 2 | 16 | 2
EDGE Fernando Cavenaghi | Héctor Canteros | 1 | 16 | 10
EDGE Fernando Cavenaghi | Jorge Palatsí | 1 | 16 | 1
EDGE Fernando Cavenaghi | Pablo Iñiguez | 1 | 16 | 6
EDGE Gerard Bordas | Héctor Canteros | 1 | 2 | 10
EDGE Walter Pandiani | Guillem Truyols | 2 | 4 | 2
EDGE Walter Pandiani | Dani Toribio | 1 | 4 | 3
EDGE Walter Pandiani | Pablo Iñiguez | 1 | 4 | 6
EDGE Guillem Truyols | Dani Toribio | 1 | 2 | 3
EDGE Dani Toribio | Florian Lejeune | 1 | 3 | 2
EDGE Héctor Canteros | Gerard Moreno | 5 | 10 | 8
EDGE Héctor Canteros | Juanma | 1 | 10 | 1
EDGE Héctor Canteros | Pablo Iñiguez | 2 | 10 | 6
EDGE Gerard Moreno | Pablo Iñiguez | 2 | 8 | 6
EDGE Pablo Iñiguez | Jorge Palatsí | 1 | 6 | 1
