# Graph for Java/GraphStream
# Nodes: 29
# Edges: 344

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Álex Baena | Kiko Femenía | 9 | 32 | 17
EDGE Álex Baena | Arnaut Danjuma | 7 | 32 | 10
EDGE Álex Baena | Nicolas Jackson | 10 | 32 | 20
EDGE Álex Baena | Étienne Capoue | 10 | 32 | 23
EDGE Álex Baena | Giovani Lo Celso | 5 | 32 | 16
EDGE Álex Baena | Filip Jørgensen | 5 | 32 | 6
EDGE Álex Baena | Adrián Dela | 4 | 32 | 5
EDGE Álex Baena | Alberto Moreno | 10 | 32 | 17
EDGE Álex Baena | Jorge Pascual | 1 | 32 | 1
EDGE José Luis Morales | Diego Collado | 1 | 19 | 1
EDGE José Luis Morales | Kiko Femenía | 3 | 19 | 17
EDGE José Luis Morales | Arnaut Danjuma | 2 | 19 | 10
EDGE José Luis Morales | Nicolas Jackson | 2 | 19 | 20
EDGE José Luis Morales | Adrián Dela | 4 | 19 | 5
EDGE José Luis Morales | Giovani Lo Celso | 4 | 19 | 16
EDGE José Luis Morales | Filip Jørgensen | 2 | 19 | 6
EDGE José Luis Morales | Gerónimo Rulli | 3 | 19 | 14
EDGE José Luis Morales | Alberto Moreno | 6 | 19 | 17
EDGE José Luis Morales | Étienne Capoue | 4 | 19 | 23
EDGE José Luis Morales | Jorge Pascual | 1 | 19 | 1
EDGE Gerónimo Rulli | Kiko Femenía | 9 | 14 | 17
EDGE Gerónimo Rulli | Arnaut Danjuma | 6 | 14 | 10
EDGE Gerónimo Rulli | Nicolas Jackson | 8 | 14 | 20
EDGE Gerónimo Rulli | Étienne Capoue | 10 | 14 | 23
EDGE Gerónimo Rulli | Giovani Lo Celso | 8 | 14 | 16
EDGE Gerónimo Rulli | Alberto Moreno | 4 | 14 | 17
EDGE Kiko Femenía | Arnaut Danjuma | 7 | 17 | 10
EDGE Kiko Femenía | Nicolas Jackson | 9 | 17 | 20
EDGE Kiko Femenía | Étienne Capoue | 9 | 17 | 23
EDGE Kiko Femenía | Giovani Lo Celso | 9 | 17 | 16
EDGE Kiko Femenía | Filip Jørgensen | 1 | 17 | 6
EDGE Kiko Femenía | Alberto Moreno | 7 | 17 | 17
EDGE Arnaut Danjuma | Nicolas Jackson | 4 | 10 | 20
EDGE Arnaut Danjuma | Étienne Capoue | 3 | 10 | 23
